Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Calculated Total Amount,Sale_Category,Age Classification,Total Amount Stdev Difference
522,2023-01-01,CUST522,Male,46,Beauty,3,500,1500,1500,Alta,Adulto,940.002368444877
180,2023-01-01,CUST180,Male,41,Clothing,3,300,900,900,Media,Adulto,340.002368444877
559,2023-01-01,CUST559,Female,40,Clothing,4,300,1200,1200,Media,Adulto,640.002368444877
303,2023-01-02,CUST303,Male,19,Electronics,3,30,90,90,Baja,Adulto Joven,469.997631555123
979,2023-01-02,CUST979,Female,19,Beauty,1,25,25,25,Baja,Adulto Joven,534.997631555123
163,2023-01-02,CUST163,Female,64,Clothing,3,50,150,150,Baja,Adulto mayor,409.997631555123
421,2023-01-02,CUST421,Female,37,Clothing,3,500,1500,1500,Alta,Adulto,940.002368444877
610,2023-01-03,CUST610,Female,26,Beauty,2,300,600,600,Baja,Adulto,40.00236844487699
683,2023-01-04,CUST683,Male,38,Beauty,2,500,1000,1000,Media,Adulto,440.002368444877
231,2023-01-04,CUST231,Female,23,Clothing,3,50,150,150,Baja,Adulto Joven,409.997631555123
32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,90,Baja,Adulto,469.997631555123
391,2023-01-05,CUST391,Male,19,Beauty,2,25,50,50,Baja,Adulto Joven,509.997631555123
367,2023-01-05,CUST367,Female,57,Electronics,1,50,50,50,Baja,Adulto,509.997631555123
432,2023-01-05,CUST432,Female,60,Electronics,2,500,1000,1000,Media,Adulto mayor,440.002368444877
150,2023-01-06,CUST150,Female,58,Electronics,4,30,120,120,Baja,Adulto,439.997631555123
845,2023-01-06,CUST845,Male,54,Clothing,1,500,500,500,Baja,Adulto,59.99763155512301
921,2023-01-07,CUST921,Male,51,Electronics,3,25,75,75,Baja,Adulto,484.997631555123
797,2023-01-07,CUST797,Male,40,Clothing,3,25,75,75,Baja,Adulto,484.997631555123
291,2023-01-08,CUST291,Male,60,Clothing,2,300,600,600,Baja,Adulto mayor,40.00236844487699
907,2023-01-08,CUST907,Female,45,Electronics,1,25,25,25,Baja,Adulto,534.997631555123
